barcode,desc_short,CLIR_status,json_status,old_json,old_json_src,bibliocommons,call_number,publisher,publisher_full,geo_extent,geo_extent_discrete,year,title,bibliocommons_control
39999085945721,boston proper 1885,pending,old index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1885-roxburyvol2.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1885-roxburyvol2.geojson,https://bpl.bibliocommons.com/item/show/6413000075,G1234_B6G475_S36_1885v2,Sanborn,New York : National Diagram Bureau.,"Boston proper, Roxbury","Boston proper,Roxbury",1885,Insurance Maps of Boston,6413000075
39999059011864,boston proper 1902,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1902-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1902-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/2788569075_atlas_of_the_city_of_boston,G1234_B6_B7_1902,Bromley,Philadelphia : G.W. Bromley and Co.,Boston proper,Boston proper,1902,Atlas of the City of Boston,2788569075
39999059011427,boston proper 1908,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1908-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1908-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/2788580075_atlas_of_the_city_of_boston,G1234_B6_B7_1908x,Bromley,Philadelphia : G.W. Bromley and Co.,Boston proper,Boston proper,1908,Atlas of the City of Boston,2788580075
39999059011492,boston proper 1912,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1912-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1912-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/2788586075_atlas_of_the_city_of_boston,G1234_B6_B7_1912,Bromley,Philadelphia : G.W. Bromley & Co.,Boston proper,Boston proper,1912,Atlas of the City of Boston,2788586075
39999059011625,boston proper 1917,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1917-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1917-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/1460759075_atlas_of_the_city_of_boston,G1234_B6_B7_1917x,Bromley,Philadelphia : G.W. Bromley and Co.,Boston proper,Boston proper,1917,Atlas of the City of Boston,1460759075
39999059011526,boston proper 1922,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1922-bostonproper.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1922-bostonproper.geojson,https://bpl.bibliocommons.com/item/show/485642075,G1234_B6_B7_1922x,Bromley,Philadelphia : G.W. Bromley & Co.,Boston proper,Boston proper,1922,Atlas of the City of Boston,485642075
39999059011377,brighton 1909,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1909-brighton.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1909-brighton.geojson,https://bpl.bibliocommons.com/item/show/2788579075_atlas_of_the_city_of_boston,G1234_B6_2B7_B7_1909x,Bromley,Philadelphia : G.W. Bromley and Co.,Brighton,Brighton,1909,Atlas of the City of Boston,2788579075
39999059015436,charlestown 1871,pending,old index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1871-roxburycharlestowncambridge.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1871-roxburycharlestowncambridge.geojson,https://bpl.bibliocommons.com/item/show/2794165075_insurance_map_of_charlestown,G1234_B6_2C38G475_S2_1871,Sanborn,"Sanborn, Daniel A.","Charlestown, Roxbury, Cambridge","Charlestown,Roxbury,Cambridge",1871,Insurance Map of Charlestown,2794165075
39999059010700,dorchester 1874,pending,old index,https://apps.bpl.org/nblmc/indexes/index-hopkins-1874-vol3.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-hopkins-1874-vol3.geojson,"https://bpl.bibliocommons.com/item/show/2887551075_atlas_of_the_county_of_suffolk,_massachusetts",G1233_S8_H6_1874v3,Hopkins,Philadelphia : G.M. Hopkins & Co.,"Dorchester, Mattapan, Southie","Dorchester,South Boston",1874,"Atlas of the County of Suffolk, Massachusetts",2887551075
39999059010866,dorchester 1884,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1884-dorchester.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1884-dorchester.geojson,https://bpl.bibliocommons.com/item/show/2887730075_atlas_of_the_city_of_boston,G1234_B6_B7_1883v3,Bromley,Philadelphia : Geo .W. and Walter S. Bromley.,"Dorchester, Mattapan",Dorchester,1884,Atlas of the City of Boston,2887730075
